h_date;h_Pers.;d_date;d_Pers.;M_date;M_Pers.;Y_date;Y_Pers.
;;;;;;2013;68422.00
;;;;;;2014;69699.00
;;;;;;2015;70723.00
;;;;;;2016;71667.00
;;;;;;2017;72377.00
;;;;;;2018;73318.00
;;;;;;2019;74370.00
;;;;;;2020;75518.00
;;;;;;2021;76567.00
;;;;;;2012;10821.00
;;;;;;2013;10982.00
;;;;;;2014;10976.00
;;;;;;2015;10923.00
;;;;;;2016;11124.00
;;;;;;2017;11048.00
;;;;;;2018;11013.00
;;;;;;2019;11119.00
;;;;;;2020;11249.00
;;;;;;2021;11206.00
